host,id,threads,url,server_type,call_mode,regs,tsmin,tsmas,millis,ns_avg,ns_p90,ns_p95,ns_p99,stdev
MXULOMJ8,ms-test-20240403_115954-0,threads_8,mxulomj7-8090,spring3_6_1_5,full,1000000,1712138395377,1712138420593,25216,176871,206072,225057,311140,100891
MXULOMJ8,ms-test-20240403_120042-0,threads_8,mxulomj7-8091,jersey3,full,1000000,1712138443636,1712138467831,24195,184543,205236,217878,286466,109236
MXULOMJ8,ms-test-20240403_120130-0,threads_8,mxulomj7-8092,flask_2_0_3,full,1000000,1712138491073,1712139122296,631223,4.64571e+06,6229614,6344981,6561224,1.28934e+06
MXULOMJ8,ms-test-20240403_121224-0,threads_8,mxulomj7-8080,tomcat_jersey_3_1_0,full,1000000,1712139145811,1712139171314,25503,195202,225271,245373,320038,103489
MXULOMJ8,ms-test-20240403_121314-0,threads_8,mxulomj7-8080,tomcat_spring3_6_1_5,full,1000000,1712139195050,1712139218788,23738,180737,211337,230653,304619,87115
MXULOMJ8,ms-test-20240403_121401-0,threads_16,mxulomj7-8090,spring3_6_1_5,full,1000000,1712139242456,1712139255706,13250,196037,231229,253620,346379,141795
MXULOMJ8,ms-test-20240403_121437-0,threads_16,mxulomj7-8091,jersey3,full,1000000,1712139278848,1712139292040,13192,199808,225476,243551,338065,165429
MXULOMJ8,ms-test-20240403_121514-0,threads_16,mxulomj7-8092,flask_2_0_3,full,1000000,1712139315254,1712139941570,626316,9.28591e+06,11934949,12162598,12750516,2.37227e+06
MXULOMJ8,ms-test-20240403_122603-0,threads_16,mxulomj7-8080,tomcat_jersey_3_1_0,full,1000000,1712139964919,1712139979367,14448,217670,252434,277188,375288,163799
MXULOMJ8,ms-test-20240403_122641-0,threads_16,mxulomj7-8080,tomcat_spring3_6_1_5,full,1000000,1712140002269,1712140015557,13288,200983,238569,263446,359090,127051
edge02,ms-test-20240403_103854-0,threads_1,localhost-8070,spring3_6_1_5,full,1000000,1712133535908,1712133856345,320437,304403,358578,388313,486147,82320.5
edge02,ms-test-20240403_104438-0,threads_1,localhost-8070,spring3_6_1_5,local,1000000,1712133879972,1712133943035,63063,56176.5,65275,73371,112223,54114.5
edge02,ms-test-20240403_104604-0,threads_1,localhost-8071,jersey3,full,1000000,1712133966023,1712134310227,344204,326981,388769,418486,504014,88414.4
edge02,ms-test-20240403_105211-0,threads_1,localhost-8071,jersey3,local,1000000,1712134333079,1712134396610,63531,57916.5,69720,81558,117552,49085
edge02,ms-test-20240403_105339-0,threads_1,localhost-8072,flask2_0_3,full,1000000,1712134420251,1712136787829,2367578,2.34921e+06,2592570,2691888,2885469,1.05256e+06
edge02,ms-test-20240403_113329-0,threads_1,localhost-8072,flask2_0_3,local,1000000,1712136810651,1712136877887,67236,61360.2,76014,89926,128103,38817.8
edge02,ms-test-20240403_113459-0,threads_1,localhost-8080,tomcat_jersey_3_1_0,full,1000000,1712136900664,1712137262841,362177,345625,416076,451646,540291,101876
edge02,ms-test-20240403_114124-0,threads_1,localhost-8080,tomcat_jersey_3_1_0,local,1000000,1712137285856,1712137355286,69430,63322.3,79705,95166,130010,37428
edge02,ms-test-20240403_114257-0,threads_1,localhost-8080,tomcat_spring3_6_1_5,full,1000000,1712137378842,1712137718874,340032,324392,370851,404907,499867,86879.4
edge02,ms-test-20240403_114900-0,threads_1,localhost-8080,tomcat_spring3_6_1_5,local,1000000,1712137741945,1712137809120,67175,61248.6,76865,89811,126509,38667.8
edge02,ms-test-20240403_115030-0,threads_2,localhost-8070,spring3_6_1_5,full,1000000,1712137831953,1712138017487,185534,335979,400830,429138,523658,104834
edge02,ms-test-20240403_115359-0,threads_2,localhost-8070,spring3_6_1_5,local,1000000,1712138041020,1712138073479,32459,54362.3,63447,71516,98495,66579.7
edge02,ms-test-20240403_115455-0,threads_2,localhost-8071,jersey3,full,1000000,1712138097121,1712138300649,203528,369677,431629,454369,566386,112277
edge02,ms-test-20240403_115842-0,threads_2,localhost-8071,jersey3,local,1000000,1712138324098,1712138354507,30409,54815.7,63304,72802,112916,52548
edge02,ms-test-20240403_115937-0,threads_2,localhost-8072,flask2_0_3,full,1000000,1712138378242,1712142033748,3655506,7.12664e+06,14578365,22411464,51362567,1.04485e+07
edge02,ms-test-20240403_130055-0,threads_2,localhost-8072,flask2_0_3,local,1000000,1712142056944,1712142091260,34316,60210.9,76199,90298,126941,54350.5
edge02,ms-test-20240403_130153-0,threads_2,localhost-8080,tomcat_jersey_3_1_0,full,1000000,1712142114979,1712142331189,216210,393905,458046,493990,592316,124257
edge02,ms-test-20240403_130553-0,threads_2,localhost-8080,tomcat_jersey_3_1_0,local,1000000,1712142354239,1712142390014,35775,59334.3,73776,87843,127435,61345.9
edge02,ms-test-20240403_130652-0,threads_2,localhost-8080,tomcat_spring3_6_1_5,full,1000000,1712142413118,1712142612473,199355,362666,423109,462311,559500,112644
edge02,ms-test-20240403_131034-0,threads_2,localhost-8080,tomcat_spring3_6_1_5,local,1000000,1712142635405,1712142671616,36211,62684.6,80064,93573,130433,54599.3
edge02,ms-test-20240403_131133-0,threads_4,localhost-8070,spring3_6_1_5,full,1000000,1712142694674,1712142790034,95360,338977,427960,457401,564696,162923
edge02,ms-test-20240403_131332-0,threads_4,localhost-8070,spring3_6_1_5,local,1000000,1712142814067,1712142833358,19291,66097,80868,94771,140685,90314.6
edge02,ms-test-20240403_131415-0,threads_4,localhost-8071,jersey3,full,1000000,1712142857104,1712142938446,81342,287232,379423,411362,505224,161089
edge02,ms-test-20240403_131601-0,threads_4,localhost-8071,jersey3,local,1000000,1712142962137,1712142979990,17853,61286.6,75517,88879,129771,84360.1
edge02,ms-test-20240403_131642-0,threads_4,localhost-8072,flask2_0_3,full,1000000,1712143003487,1712145578614,2575127,9.17633e+06,11569642,14207568,32400539,6.09272e+06
edge02,ms-test-20240403_140000-0,threads_4,localhost-8072,flask2_0_3,local,1000000,1712145602110,1712145623487,21377,70654.6,93786,108841,144835,91132.1
edge02,ms-test-20240403_140045-0,threads_4,localhost-8080,tomcat_jersey_3_1_0,full,1000000,1712145647233,1712145769874,122641,443045,511039,539069,682973,189066
edge02,ms-test-20240403_140312-0,threads_4,localhost-8080,tomcat_jersey_3_1_0,local,1000000,1712145793235,1712145814688,21453,71210.6,89105,102791,143512,89744.3
edge02,ms-test-20240403_140357-0,threads_4,localhost-8080,tomcat_spring3_6_1_5,full,1000000,1712145838333,1712145949130,110797,397538,477214,505374,641603,184882
edge02,ms-test-20240403_140611-0,threads_4,localhost-8080,tomcat_spring3_6_1_5,local,1000000,1712145972540,1712145994191,21651,70963.1,95320,112836,149328,90389
edge02,ms-test-20240403_140656-0,threads_8,localhost-8070,spring3_6_1_5,full,1000000,1712146017974,1712146072134,54160,382992,481124,513278,680968,250806
edge02,ms-test-20240403_140813-0,threads_8,localhost-8070,spring3_6_1_5,local,1000000,1712146095079,1712146106683,11604,74292.4,92742,107037,153970,117033
edge02,ms-test-20240403_140849-0,threads_8,localhost-8071,jersey3,full,1000000,1712146130258,1712146174176,43918,303496,411407,451078,610118,210407
edge02,ms-test-20240403_140956-0,threads_8,localhost-8071,jersey3,local,1000000,1712146197521,1712146209221,11700,74908.9,89755,100965,144428,119905
edge02,ms-test-20240403_141031-0,threads_8,localhost-8072,flask2_0_3,full,1000000,1712146232734,1712148368733,2135999,1.54582e+07,21677191,22497634,24381595,4.77355e+06
edge02,ms-test-20240403_144631-0,threads_8,localhost-8072,flask2_0_3,local,1000000,1712148392326,1712148404086,11760,75703.8,88509,97897,154675,127044
edge02,ms-test-20240403_144706-0,threads_8,localhost-8080,tomcat_jersey_3_1_0,full,1000000,1712148427482,1712148493403,65921,471148,568819,603544,757486,250658
edge02,ms-test-20240403_144835-0,threads_8,localhost-8080,tomcat_jersey_3_1_0,local,1000000,1712148516709,1712148528265,11556,75490.4,90812,103077,152613,125426
edge02,ms-test-20240403_144910-0,threads_8,localhost-8080,tomcat_spring3_6_1_5,full,1000000,1712148551965,1712148608040,56075,395897,514632,548251,693941,223345
edge02,ms-test-20240403_145029-0,threads_8,localhost-8080,tomcat_spring3_6_1_5,local,1000000,1712148631171,1712148642536,11365,75055.8,92462,106255,152122,120081
edge02,ms-test-20240403_145105-0,threads_16,localhost-8070,spring3_6_1_5,full,1000000,1712148666487,1712148685676,19189,277583,378352,466451,882202,242197
edge02,ms-test-20240403_145147-0,threads_16,localhost-8070,spring3_6_1_5,local,1000000,1712148708947,1712148715822,6875,90973.9,98990,120705,424405,221792
edge02,ms-test-20240403_145217-0,threads_16,localhost-8071,jersey3,full,1000000,1712148739143,1712148758492,19349,276426,353267,428351,708329,227976
edge02,ms-test-20240403_145301-0,threads_16,localhost-8071,jersey3,local,1000000,1712148782656,1712148789626,6970,89923.4,98632,121205,408597,215789
edge02,ms-test-20240403_145331-0,threads_16,localhost-8072,flask2_0_3,full,1000000,1712148812932,1712150879429,2066497,3.18286e+07,39248489,45262455,54778334,7.40304e+06
edge02,ms-test-20240403_152821-0,threads_16,localhost-8072,flask2_0_3,local,1000000,1712150902595,1712150909651,7056,90887.9,100019,122876,415288,210318
edge02,ms-test-20240403_152851-0,threads_16,localhost-8080,tomcat_jersey_3_1_0,full,1000000,1712150932984,1712150954282,21298,310216,404709,500202,962004,247124
edge02,ms-test-20240403_152936-0,threads_16,localhost-8080,tomcat_jersey_3_1_0,local,1000000,1712150978259,1712150984976,6717,87215.3,94952,107226,376850,205535
