MCC+MNC;IMSI_OPERADOR;IMSI_PAIS;ZONA_ROAMING
46692;Chunghwa;Taiwan;zona_roaming_3
46693;Taiwan Mobile;Taiwan;zona_roaming_3
46697;Taiwan Mobile;Taiwan;zona_roaming_3
46699;Taiwan Mobile;Taiwan;zona_roaming_3
47001;Grameenphone;Bangladesh;zona_roaming_3
47003;Banglalink;Bangladesh;zona_roaming_3
47007;Warid Telecom;Bangladesh;zona_roaming_3
47202;AT&T Wataniya;Maldivas;zona_roaming_3
50212;Maxis;Malasia;zona_roaming_3
50213;Celcom TM Touch;Malasia;zona_roaming_3
50216;Digi;Malasia;zona_roaming_3
50218;UMobile(MTV3G);Malasia;zona_roaming_3
50219;Celcom TM Touch;Malasia;zona_roaming_3
50501;Telstra;Australia;zona_roaming_3
50502;SignTel;Australia;zona_roaming_3
50503;Vodafone;Australia;zona_roaming_3
51001;PT. Satelindo;Indonesia;zona_roaming_3
51008;Axis;Indonesia;zona_roaming_3
51010;PT Telkomsel;Indonesia;zona_roaming_3
51011;XL;Indonesia;zona_roaming_3
51021;INDOSAT-M3;Indonesia;zona_roaming_3
51089;Hutchinson 3;Indonesia;zona_roaming_3
51502;Globe Telecom;Filipinas;zona_roaming_3
51503;SMART;Filipinas;zona_roaming_3
51505;Digitel (SUN Cellular);Filipinas;zona_roaming_3
52000;True Move;Tailandia;zona_roaming_3
52001;AIS;Tailandia;zona_roaming_3
52003;AWN;Tailandia;zona_roaming_3
52004;Real Future;Tailandia;zona_roaming_3
52005;Dtac;Tailandia;zona_roaming_3
52018;DTAC;Tailandia;zona_roaming_3
52099;True Move;Tailandia;zona_roaming_3
52501;Singtel;Singapur;zona_roaming_3
52502;Singtel;Singapur;zona_roaming_3
52505;Starhub;Singapur;zona_roaming_3
52802;B-MOBILE;Brunei;zona_roaming_3
53001;Vodafone;Nueva Zelanda;zona_roaming_3
53024;NZL / Two Degrees;Nueva Zelanda;zona_roaming_3
53703;Digicel;Papua Nueva Guinea;zona_roaming_3
53988;Digicel;Tonga;zona_roaming_3
54101;Telecom TVL;Vanuatu;zona_roaming_3
54105;Digicel;Vanuatu;zona_roaming_3
54202;Digitel;Fiji;zona_roaming_3
