MCC+MNC;IMSI_OPERADOR;IMSI_PAIS;ZONA_ROAMING
27404;IMC;Islandia;zona_roaming_1
27408;SIMINN;Islandia;zona_roaming_1
27411;Nova;Islandia;zona_roaming_1
27601;AMC;Albania;zona_roaming_2
27602;Vodafone;Albania;zona_roaming_2
27603;Eagle;Albania;zona_roaming_2
27604;Plus Communication;Albania;zona_roaming_2
27801;Vodafone;Malta;zona_roaming_1
27821;GoMobile;Malta;zona_roaming_1
27877;Melita;Malta;zona_roaming_1
28001;CYTA;Chipre;zona_roaming_1
28010;MTN;Chipre;zona_roaming_1
28020;Primetel;Chipre;zona_roaming_1
28201;GEOCELL;Georgia;zona_roaming_3
28202;MAGTICOMGSM;Georgia;zona_roaming_3
28204;Mobitel;Georgia;zona_roaming_3
28305;K Telecom;Armenia;zona_roaming_3
28310;Orange;Armenia;zona_roaming_3
28401;Mobitel;Bulgaria;zona_roaming_1
28403;VivatelBTC;BULGARIA;zona_roaming_1
28405;Globul;Bulgaria;zona_roaming_1
28601;Turkcell;Turquia;zona_roaming_2
28602;Vodafone;Turquia;zona_roaming_2
28603;Avea;Turquia;zona_roaming_2
28604;Avea;Turquia;zona_roaming_2
28801;Faroese Telecom;Feroe (Islas);zona_roaming_2
29001;TeleGroenlandia;Groenlandia;zona_roaming_3
29201;San Marino Telecom / Prima;San Marino;zona_roaming_1
29340;Vodafone;Eslovenia;zona_roaming_1
29341;Mobitel;Eslovenia;zona_roaming_1
29364;T-2;Eslovenia;zona_roaming_1
29370;Tusmobil;Eslovenia;zona_roaming_1
29401;T-Mobile;Macedonia;zona_roaming_2
29402;Cosmofon;Macedonia;zona_roaming_2
29403;VIP;Macedonia;zona_roaming_2
29502;Orange;Liechtenstein;zona_roaming_1
29505;Mobilkom;Liechtenstein;zona_roaming_1
29509;EMNIFY;Liechtenstein;zona_roaming_1
29510;TELECOM LI;Liechtenstein;zona_roaming_1
29577;Alpcom (Tango Tele2 AG);Liechtenstein;zona_roaming_1
29701;Telenor;Montenegro;zona_roaming_2
29702;T-Mobile;Montenegro;zona_roaming_2
29703;Mtel;Montenegro;zona_roaming_2
30222;Telus;Canada;zona_roaming_2
30237;Rogers;Canada;zona_roaming_2
30250;Videotron;Canada;zona_roaming_2
30261;Bell;Canada;zona_roaming_2
30269;Bell;Canada;zona_roaming_2
30272;Rogers;Canada;zona_roaming_2
30276;Telus;Canada;zona_roaming_2
30278;Saktel;Canada;zona_roaming_2
30801;SPM Telecom;San Pierre Miquelon;zona_roaming_3
31003;AT&T Cingular;EEUU;zona_roaming_2
31012;Nextel Sprint;EEUU;zona_roaming_2
31015;AT&T Cingular;EEUU;zona_roaming_2
31016;T-Mobile USA;EEUU;zona_roaming_2
31017;AT&T Cingular;EEUU;zona_roaming_2
31020;T-Mobile USA;EEUU;zona_roaming_2
31021;T-Mobile USA;EEUU;zona_roaming_2
31024;T-Mobile USA;EEUU;zona_roaming_2
31025;T-Mobile USA;EEUU;zona_roaming_2
31026;T-Mobile USA;EEUU;zona_roaming_2
31027;T-Mobile USA;EEUU;zona_roaming_2
31028;AT&T Cingular;EEUU;zona_roaming_2
31031;T-Mobile USA;EEUU;zona_roaming_2
31038;AT&T Cingular;EEUU;zona_roaming_2
31041;AT&T Cingular;EEUU;zona_roaming_2
31042;Cincinnati Bell Wireless;EEUU;zona_roaming_2
31055;MANX;Isla de Man/UK;zona_roaming_2
31072;Manx;EEUU;zona_roaming_2
